"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","Reporting_Airline","DOT_ID_Reporting_Airline","IATA_CODE_Reporting_Airline","Tail_Number","Flight_Number_Reporting_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2006,1,1,30,1,2006-01-30,"DL",19790,"DL","N306DL","580",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,11995,1199501,31995,"GSO","Greensboro/High Point, NC","NC","37","North Carolina",36,"0945","0943",-2.00,0.00,0.00,-1,"0900-0959",22.00,"1005","1054",5.00,"1110","1059",-11.00,0.00,0.00,-1,"1100-1159",0.00,"",0.00,85.00,76.00,49.00,1.00,306.00,2,,,,,,"",,,,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2006,1,1,30,1,2006-01-30,"DL",19790,"DL","N376DL","581",13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"1404","",,,,,"1400-1459",,"","",,"1655","",,,,,"1600-1659",1.00,"B",0.00,111.00,,,1.00,692.00,3,,,,,,"",,,,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2006,1,1,30,1,2006-01-30,"DL",19790,"DL","N176DZ","582",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,14771,1477101,32457,"SFO","San Francisco, CA","CA","06","California",91,"1030","1048",18.00,18.00,1.00,1,"1000-1059",17.00,"1105","1305",6.00,"1251","1311",20.00,20.00,1.00,1,"1200-1259",0.00,"",0.00,321.00,323.00,300.00,1.00,2139.00,9,18.00,0.00,2.00,0.00,0.00,"",,,,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2006,1,1,30,1,2006-01-30,"DL",19790,"DL","N3731T","583",14492,1449201,34492,"RDU","Raleigh/Durham, NC","NC","37","North Carolina",36,10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0715","0712",-3.00,0.00,0.00,-1,"0700-0759",14.00,"0726","0839",7.00,"0843","0846",3.00,3.00,0.00,0,"0800-0859",0.00,"",0.00,88.00,94.00,73.00,1.00,356.00,2,,,,,,"",,,,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2006,1,1,30,1,2006-01-30,"DL",19790,"DL","N3731T","583",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,14893,1489301,33192,"SMF","Sacramento, CA","CA","06","California",91,"0928","0929",1.00,1.00,0.00,0,"0900-0959",27.00,"0956","1145",8.00,"1200","1153",-7.00,0.00,0.00,-1,"1200-1259",0.00,"",0.00,332.00,324.00,289.00,1.00,2092.00,9,,,,,,"",,,,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2006,1,1,30,1,2006-01-30,"DL",19790,"DL","N904DL","584",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,10821,1082103,30852,"BWI","Baltimore, MD","MD","24","Maryland",35,"1715","1730",15.00,15.00,1.00,1,"1700-1759",16.00,"1746","1900",4.00,"1903","1904",1.00,1.00,0.00,0,"1900-1959",0.00,"",0.00,108.00,94.00,74.00,1.00,576.00,3,,,,,,"",,,,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2006,1,1,30,1,2006-01-30,"DL",19790,"DL","N932DL","585",14685,1468501,34685,"SAV","Savannah, GA","GA","13","Georgia",34,10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0900","0858",-2.00,0.00,0.00,-1,"0900-0959",12.00,"0910","0949",10.00,"0959","0959",0.00,0.00,0.00,0,"0900-0959",0.00,"",0.00,59.00,61.00,39.00,1.00,215.00,1,,,,,,"",,,,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2006,1,1,30,1,2006-01-30,"DL",19790,"DL","N932DL","585",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,10140,1014001,30140,"ABQ","Albuquerque, NM","NM","35","New Mexico",86,"1045","1042",-3.00,0.00,0.00,-1,"1000-1059",16.00,"1058","1206",10.00,"1220","1216",-4.00,0.00,0.00,-1,"1200-1259",0.00,"",0.00,215.00,214.00,188.00,1.00,1269.00,6,,,,,,"",,,,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2006,1,1,30,1,2006-01-30,"DL",19790,"DL","N972DL","586",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,11996,1199602,31871,"GSP","Greer, SC","SC","45","South Carolina",37,"1615","1717",62.00,62.00,1.00,4,"1600-1659",14.00,"1731","1801",3.00,"1707","1804",57.00,57.00,1.00,3,"1700-1759",0.00,"",0.00,52.00,47.00,30.00,1.00,153.00,1,57.00,0.00,0.00,0.00,0.00,"",,,,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2006,1,1,30,1,2006-01-30,"DL",19790,"DL","N946DL","587",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,10599,1059902,30599,"BHM","Birmingham, AL","AL","01","Alabama",51,"1959","2036",37.00,37.00,1.00,2,"1900-1959",11.00,"2047","2012",5.00,"1955","2017",22.00,22.00,1.00,1,"1900-1959",0.00,"",0.00,56.00,41.00,25.00,1.00,134.00,1,0.00,0.00,0.00,0.00,22.00,"",,,,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
